id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
c249af81-173f-431f-9852-a56cd653611f,designers.style,available,12.99,,high,low,9,name.com,,
44c71ac5-0ca6-4000-aedf-d1ff6edda13e,trends.fashion,resell,,,medium,low,6,"GoDaddy.com, LLC",20/10/2020 21:24,20/10/2026 21:24
045c5591-c132-4ed5-bea0-e14bef0a5998,designers.boutique,available,6.99,,high,low,9,name.com,,
ed2f7bcd-ebe2-45ee-8e00-707c7ad66271,styling.shopping,available,14.99,,high,low,7,name.com,,
43728079-f2ef-4f25-adf3-0bc780451e9b,sophistication.fashion,available,32.49,32.49,high,low,14,namesilo,,
2094cffa-209a-492e-9cc5-a0afdd2a45e9,elegant.shop,resell,,,high,low,7,"Sav.com, LLC",26/09/2016 15:00,26/09/2026 23:59
6f24fa2a-29d0-41cd-9ce2-150a6751abad,current.fashion,resell,,,medium,low,7,Dynadot Inc,20/07/2021 18:47,20/07/2027 18:47
900d1552-04c7-40b0-882b-22bb4d859b7d,styling.shoes,available,39.99,,high,low,7,name.com,,
85fa7996-694b-47ca-b113-15f187fa9ad9,mall.shop,premium,625,,high,low,4,name.com,,
646367a4-e6c9-4520-b828-fae9128bcc1f,trends.shoes,available,39.99,,medium,low,6,name.com,,
95281c6d-113b-4a1a-8d79-1c7e33d4903a,luxury.shop,premium,3125,,high,low,6,name.com,,
51d560c7-a2d8-4c86-92c6-25e317a7dabe,art.works,resell,,,high,medium,3,Porkbun LLC,29/10/2016 07:44,29/10/2026 07:44
8985b531-406f-4db8-89a5-7aa7dc453f88,chic.moda,premium,118.8,118.8,medium,low,4,namesilo,,
e3acc41b-79f6-428c-9558-0c5629c3cf1f,fabric.ryukyu,available,22.98,,high,low,6,namecheap,,
46c7153b-cdab-4be1-bb30-ae6afa86c284,sophistication.onl,available,3.79,23.49,high,low,14,namesilo,,
6dd87feb-15da-4f3b-90fc-a625145d0049,sophistication.blue,available,23.99,,high,low,14,name.com,,
7b65e0e8-2103-477f-81d5-0337e5413bea,sophistication.vana,available,2498,,high,low,14,namecheap,,
9380998c-a65d-46f4-be26-2eb0e41bd221,sophistication.homes,available,1.99,,high,low,14,name.com,,
b62f10a0-4737-4dd3-abd3-11522950bfbd,trends.salon,available,14.99,,medium,low,6,name.com,,
9d8c7f31-4e37-4575-a4a8-69600f1f42d7,dress.ryukyu,available,22.98,,high,low,5,namecheap,,
9cb12b4a-ebf7-44bb-8a1c-1744ef26c90a,sophistication.sh,available,39.99,47.99,high,low,14,namesilo,,
32cf145b-44ec-425e-9c53-820eedecf45b,sophistication.place,available,22.49,22.49,high,low,14,namesilo,,
da390762-2ede-4256-943c-3aa103b6bb0a,trends.black,available,29.99,,medium,low,6,name.com,,
ea2e4f8d-bc0f-4a84-b0a7-37fcf4c69dcd,model.ryukyu,available,22.98,,high,low,5,namecheap,,
88b1f9cd-6311-40a7-8f58-382aa29f561e,styling.cv,available,14.98,,high,low,7,namecheap,,
fd451910-264e-441c-bb40-45c543290de5,fashion.beer,available,43.98,,high,medium,7,namecheap,,
9e1a20c6-fc95-49c2-a10b-9497b24967cf,sophistication.cyou,available,1.79,19.49,high,low,14,namesilo,,
c59a1f2d-bff8-4846-8ead-c7679d063d53,sophistication.pictures,available,9.99,,high,low,14,name.com,,
0582cd46-8ef3-4c4f-b007-3b3e7329ba73,sophistication.dealer,premium,2170,2800,high,low,14,namecheap,,
a7404a1d-f1ba-4611-b1e8-b7db75ff4128,sophistication.bz,available,25,,high,low,14,name.com,,
2ba87846-98ee-4ac8-be83-745ad8694811,designers.discount,available,7.99,,high,low,9,name.com,,
7f930087-2579-4b44-bc48-f28d537edbb5,sophistication.systems,available,21.99,,high,low,14,name.com,,
ccd4e4c4-2c40-490b-8aef-e2af3a097ef9,designers.immobilien,available,14.99,,high,low,9,name.com,,
5b8917ad-aa11-4f5f-a942-ed2f5ed798af,sophistication.vip,available,4.99,19.49,high,low,14,namesilo,,
261b6e25-5991-40ae-ad26-f000f91623eb,styling.horse,available,43.98,,high,low,7,namecheap,,
f1711b3b-5a16-4d99-8943-408604ec2a52,designing.shoes,available,34.98,81.98,medium,low,9,namecheap,,
0d813459-e655-43a5-9d9a-03bd4f05e31a,sophistication.you,available,22.99,22.99,high,low,14,namesilo,,
1c51ad62-883e-42de-a3b6-25a0652cf585,fiber.media,resell,,,high,low,5,Porkbun LLC,16/03/2020 09:55,16/03/2027 09:55
b642fe3c-9c76-4299-acff-b9340234830e,styling.boutique,resell,,,high,low,7,"Spaceship, Inc.",01/07/2025 14:56,01/07/2026 14:56
b6ff88ec-0841-41a1-bb54-58b8bf3d86ef,sophistication.best,available,2.35,17.79,high,low,14,namesilo,,
13dc7f87-d538-4703-88ae-c22a256ecc92,styling.uno,available,31.98,,high,low,7,namecheap,,
dcd12182-cca4-49f5-aac3-eadb96cb9ae3,designers.car,available,1999.99,2199,high,low,9,namesilo,,
91bb01cf-12b3-47d4-8d6b-c76645bff764,sophistication.party,premium,116,29.5,high,low,14,namesilo,,
d68cc508-8aed-443c-9dc0-f51f02f3133e,sophistication.bargains,available,21.99,,high,low,14,name.com,,
dbd302c5-3dba-45e9-bddc-495cbd14f372,trends.barcelona,available,38.98,,medium,low,6,namecheap,,
45741c50-d434-40b1-9b9a-7552613f211b,sophistication.feedback,available,15.99,,high,low,14,name.com,,
2eefcb8f-f1a3-4624-8030-c3021cca19a1,styling.trading,available,19.99,,high,low,7,name.com,,
9fd48b76-5d77-4653-8ad5-bacae4afbcfb,bespoke.tienda,available,9.99,77.99,low,low,7,name.com,,
86f358cb-e6e9-4e28-809b-4f2ab77a72bb,styling.movie,available,69.99,,high,low,7,name.com,,
f6341da4-7094-4a73-bb58-abf0636e2452,sophistication.voyage,available,9.99,,high,low,14,name.com,,
a50e0aeb-cc94-44a2-83c5-1bb6669e8fe6,designers.immo,available,14.99,,high,low,9,name.com,,
8ec2d849-836c-4020-8899-23d0b23a9edb,sophistication.red,available,14.99,,high,low,14,name.com,,
77f67055-1b4e-41ec-a739-6a64fc0ba9c9,sophistication.locker,available,13.25,37.99,high,low,14,namesilo,,
7ca708bf-6152-461f-8f2a-ad012a95487f,sophistication.ag,available,89,,high,low,14,name.com,,
c6b1373e-a8c7-4fa1-b669-29138a68fd54,sophistication.xyz,resell,,,high,low,14,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),08/12/2025 02:21,08/12/2026 23:59
f5f44673-0da1-4ae8-9f90-c5393a6309ce,styling.living,available,39.99,,high,low,7,name.com,,
3ef476cf-c873-453b-adf7-52364f9856c4,styling.productions,available,14.99,,high,low,7,name.com,,
560b035e-dc55-4a35-ac59-8dd8de854c5a,trends.lifestyle,premium,490,700,medium,low,6,namecheap,,
f9ea23e3-af44-4ccb-a1ce-16e1f51d0313,styling.vana,available,2498,,high,low,7,namecheap,,
5a566ae9-474e-431c-88cd-e80ac7e9d636,sophistication.dating,available,23.99,,high,low,14,name.com,,
0b20be27-c07a-4940-88fd-6360cd6b1a2a,styling.lawyer,available,66.98,,high,low,7,namecheap,,
7ff603ad-9e6c-43ac-b0e1-e0d1f62de1bf,designers.cash,available,17.99,,high,low,9,name.com,,
812fe8e5-6cd3-4d70-8963-cf6ce8920cbe,sophistication.berlin,available,89.98,,high,low,14,namecheap,,
9c1244f7-1455-4c45-b3ef-9c3099cbfff2,designers.promo,available,19.99,,high,low,9,name.com,,
9e31c8c3-3881-4efb-aa3f-952f6b8440b7,styling.world,resell,,,high,low,7,"Sav.com, LLC - 28",12/03/2026 15:15,12/03/2027 15:15
00c9a0a8-300b-48a7-95b8-ba17eb72a2d7,trends.bargains,available,21.99,,medium,low,6,name.com,,
5e8f9df1-b3a7-4491-878f-0b48bd4b47e0,jewels.fashion,available,45.98,,high,low,6,namecheap,,
3ca877a6-ebb4-46b4-84f4-81b6c372415c,gems.shoes,available,39.99,,high,low,4,name.com,,
66471a0f-8b48-4934-a928-abf03fe14e8c,styling.condos,available,71.99,,high,low,7,name.com,,
